sample_id,Soil moisture (% wet mass),Lysate pH,Rainfall Intensity (ml),Soil volume (m3),Wet soil mass (g),Dry soil mass (g),Dry soil bulk density (Mg/m3)
4-130-HB,76.50793651,3.81,613,0.000776272,449.47,105.5897778,0.136021652
14-150-HH,75.79617834,4.23,695,0.000980554,721.55,174.6426752,0.178106145
27-171-GB,66.27906977,3.94,858,0.000939697,959.89,323.6838372,0.344455361
13-127-HH,85.84070796,4.34,776,0.000898841,569.88,80.69097345,0.089772236
56-179-GG,66.48044693,4.66,858,0.000939697,920.01,308.3832402,0.32817289
8-133-HB,81.1965812,3.63,940,0.00102141,665.74,125.1818803,0.122557878
24-169-GB,40.10282776,4.5,613,0.000898841,"1,106.38",662.6903342,0.737271975
21-183-GG,63.94984326,5.08,940,0.000857985,725.1,261.3996865,0.304667086
49-140-HB,63.85542169,3.07,695,0.000939697,912.9,329.9638554,0.351138382
12-141-HH,77.11864407,4.31,858,0.000898841,718.95,164.5055085,0.183019572
33-170-GB,47.57834758,4.33,776,0.000939697,"1,051.23",551.0721368,0.586435682
39-173-GG,42.56410256,4.81,613,0.000898841,989.98,568.6038974,0.6325967
48-131-HB,62.30031949,3.91,776,0.000735415,332.92,125.5097764,0.17066514
46-126-HH,78.93175074,4.41,940,0.000844911,639.73,134.779911,0.159519728
41-157-GG,77.06185567,4.88,695,0.000980554,920.56,211.1593814,0.215347042
25-174-GB,48.97360704,4.97,695,0.000857985,737,376.0645161,0.438311468
42-144-HB,57.69230769,4.57,940,0.000898841,779.22,329.67,0.366772291
10-129-HH,79.94505495,4.64,695,0.001062267,813.98,163.2432418,0.153674438
17-166-GB,37.97752809,4.02,613,0.000817128,"1,035.50",642.2426966,0.785975393
30-155-GG,56.22222222,4.59,776,0.000912732,910.93,398.7849111,0.436913355
32-123-HB,42.51336898,4.32,695,0.000735415,607.68,349.3347594,0.475016906
16-128-HH,78.47682119,3.73,858,0.000837556,650.52,140.0125828,0.167167935
54-164-GB,53.16804408,6.69,940,0.000980554,866.52,405.8082645,0.413856153
50-160-GG,33.24675325,6.1,776,0.000878413,763.96,509.9681039,0.580556277
53-149-HB,78.18181818,3.76,858,0.000857985,505.59,110.3105455,0.128569368
23-146-HH,76.62721893,4.9,776,0.00057199,460.83,107.708787,0.188305442
45-161-GB,43.93063584,5.53,858,0.000878413,839.7,470.8144509,0.535983099
36-178-GG,36.36363636,5.55,858,0.000674131,530.36,337.5018182,0.500647375
2-138-HB,59.29648241,3.74,613,0.000817128,484.24,197.1027136,0.241213927
5-139-HH,74.56647399,5.12,613,0.000919269,501.62,127.5796532,0.138783767
18-167-GB,45.96577017,4.08,776,0.001041839,969.27,523.7375795,0.502705142
43-180-GG,78.08564232,5.46,613,0.000939697,836.38,183.2873048,0.195049266
29-148-HB,59.83606557,2.97,858,0.000960126,786.17,315.7568033,0.328870278
19-147-HH,79.03225806,4.25,940,0.001041839,953.84,199.9987097,0.191967091
38-156-GB,42.79069767,5.68,695,0.000714987,711.36,406.964093,0.569190725
59-172-GG,42.76169265,5.96,695,0.000837556,"1,014.49",580.6769042,0.693298822
9-134-HB,61.07954545,3.65,776,0.000857985,563.66,219.3790341,0.255691091
7-136-HH,76.20481928,5.93,940,0.000837556,571.81,136.0632229,0.162452599
15-154-GB,38.53904282,5.63,940,0.000898841,988,607.2342569,0.675574664
35-182-GG,72.26463104,4.52,776,0.000817128,712.6,197.6422392,0.241874197
1-137-HB,57.76566757,3.78,940,0.000898841,656.72,277.3613079,0.308576584
6-125-HH,82.63157895,4.57,613,0.000735415,408,70.86315789,0.096357998
26-159-GB,56.7839196,3.81,940,0.000939697,588.03,254.1235176,0.270431199
34-163-GG,47.46987952,5.38,695,0.0007967,843.47,443.0758072,0.556138802
55-124-HB,58.3081571,3.77,858,0.000980554,595.7,248.3583082,0.253283688
51-132-HH,82.67045455,3.78,695,0.000878413,756.05,131.0200284,0.149155407
28-176-GB,42.1286031,5.21,613,0.000857985,833.69,482.4680488,0.562327126
58-162-GG,42.60485651,5.81,858,0.000837556,795.04,456.3143488,0.544816228
47-145-HB,59.82404692,4.02,613,0.000776272,714.65,287.1174487,0.369867146
44-153-HH,81.59340659,3.88,776,0.001000982,784.76,144.4475824,0.144305859
60-168-GB,48.24797844,4.76,695,0.000857985,733.54,379.621779,0.442457536
37-181-GG,46.37681159,4.62,613,0.001103123,"1,104.87",592.4665217,0.53708104
57-152-HB,51.63398693,4.17,776,0.000735415,627.67,303.5789542,0.412799275
3-135-HH,76.86170213,5.24,858,0.0007967,572.97,132.5755053,0.166405797
40-158-GB,46.90026954,4.55,858,0.001103123,"1,150.92",611.1354178,0.554004714
22-165-GG,68.45637584,5.16,940,0.001000982,"1,029.60",324.7731544,0.324454506
52-151-HB,45.85152838,3.86,695,0.000837556,875.54,474.0915284,0.56604128
11-142-HH,82.57261411,3.81,613,0.000939697,803.88,140.0952697,0.1490855
20-177-GB,62.72965879,4.16,776,0.000919269,639.56,238.3661942,0.259299641
