Mesocosm,Lysate pH,Temperature (oC),Date,Rainfall Intensity (ml),Habitat,Bracken
Rainfall 1,6.61,19,15/10/2025,,Rainfall,
Rainfall 2,6.56,19,16/10/2025,,Rainfall,
Rainfall 3,6.66,19,16/10/2025,,Rainfall,
4-130-HB,3.81,19,16/10/2025,613,Heathland,Present
14-150-HH,4.23,19,16/10/2025,695,Heathland,Absent
27-171-GB,3.94,19,16/10/2025,858,Grassland,Present
13-127-HH,4.34,19,15/10/2025,776,Heathland,Absent
56-179-GG,4.66,19,16/10/2025,858,Grassland,Absent
8-133-HB,3.63,19,15/10/2025,940,Heathland,Present
24-169-GB,4.5,19,16/10/2025,613,Grassland,Present
21-183-GG,5.08,19,15/10/2025,940,Grassland,Absent
49-140-HB,3.07,19,15/10/2025,695,Heathland,Present
12-141-HH,4.31,19,15/10/2025,858,Heathland,Absent
33-170-GB,4.33,19,15/10/2025,776,Grassland,Present
39-173-GG,4.81,19,15/10/2025,613,Grassland,Absent
48-131-HB,3.91,19,15/10/2025,776,Heathland,Present
46-126-HH,4.41,19,15/10/2025,940,Heathland,Absent
41-157-GG,4.88,19,15/10/2025,695,Grassland,Absent
25-174-GB,4.97,19,15/10/2025,695,Grassland,Present
42-144-HB,4.57,19,15/10/2025,940,Heathland,Present
10-129-HH,4.64,19,15/10/2025,695,Heathland,Absent
17-166-GB,4.02,19,15/10/2025,613,Grassland,Present
30-155-GG,4.59,19,15/10/2025,776,Grassland,Absent
32-123-HB,4.32,19,15/10/2025,695,Heathland,Present
16-128-HH,3.73,19,15/10/2025,858,Heathland,Absent
54-164-GB,6.69,19,15/10/2025,940,Grassland,Present
50-160-GG,6.1,19,15/10/2025,776,Grassland,Absent
53-149-HB,3.76,19,16/10/2025,858,Heathland,Present
23-146-HH,4.9,19,15/10/2025,776,Heathland,Absent
45-161-GB,5.53,19,16/10/2025,858,Grassland,Present
36-178-GG,5.55,19,16/10/2025,858,Grassland,Absent
2-138-HB,3.74,19,16/10/2025,613,Heathland,Present
5-139-HH,5.12,19,16/10/2025,613,Heathland,Absent
18-167-GB,4.08,19,16/10/2025,776,Grassland,Present
43-180-GG,5.46,19,16/10/2025,613,Grassland,Absent
29-148-HB,2.97,19,15/10/2025,858,Heathland,Present
19-147-HH,4.25,19,16/10/2025,940,Heathland,Absent
38-156-GB,5.68,19,16/10/2025,695,Grassland,Present
59-172-GG,5.96,19,16/10/2025,695,Grassland,Absent
9-134-HB,3.65,19,16/10/2025,776,Heathland,Present
7-136-HH,5.93,19,16/10/2025,940,Heathland,Absent
15-154-GB,5.63,19,16/10/2025,940,Grassland,Present
35-182-GG,4.52,19,15/10/2025,776,Grassland,Absent
1-137-HB,3.78,19,16/10/2025,940,Heathland,Present
6-125-HH,4.57,19,16/10/2025,613,Heathland,Absent
26-159-GB,3.81,19,16/10/2025,940,Grassland,Present
34-163-GG,5.38,19,16/10/2025,695,Grassland,Absent
55-124-HB,3.77,19,16/10/2025,858,Heathland,Present
51-132-HH,3.78,19,15/10/2025,695,Heathland,Absent
28-176-GB,5.21,19,16/10/2025,613,Grassland,Present
58-162-GG,5.81,19,16/10/2025,858,Grassland,Absent
47-145-HB,4.02,19,15/10/2025,613,Heathland,Present
44-153-HH,3.88,19,15/10/2025,776,Heathland,Absent
60-168-GB,4.76,19,15/10/2025,695,Grassland,Present
37-181-GG,4.62,19,15/10/2025,613,Grassland,Absent
57-152-HB,4.17,19,15/10/2025,776,Heathland,Present
3-135-HH,5.24,19,15/10/2025,858,Heathland,Absent
40-158-GB,4.55,19,15/10/2025,858,Grassland,Present
22-165-GG,5.16,19,15/10/2025,940,Grassland,Absent
52-151-HB,3.86,19,15/10/2025,695,Heathland,Present
11-142-HH,3.81,19,15/10/2025,613,Heathland,Absent
20-177-GB,4.16,19,15/10/2025,776,Grassland,Present
